商品标题,一级（是否为实体）,二级-三级-四级,时间,地域
【贤合庄两店通用】9.9元抢贤合庄100元代金券！卤味锅底满满煮开，飘香整家店，来这里吃火锅，撞星率超高！,0,a-4,,
【秦淮区龙蟠中路】仅28元抢原价688元韩熙美肤美睫美甲套餐！韩国超微小气泡+肩颈按摩+头部按摩+纯色美甲/美睫（2选1）,0,k,,
 【老船长】仅88元享门市价288元猪肚鸡套餐！（​虫草松茸猪肚鸡+广东清远鸡+虫草+松茸+黑猪肚+潮汕手打肉丸+手打牛肉滑+豆腐皮+魔芋节+玉米+生菜....）,0,a-3,,
【南京3店通用 | 韩式烤肉】仅59元抢原价92元安鹤宫料理石锅套餐！石锅拌饭+大酱汤+无骨鸡块，99元抢原价211元烤肉双人餐！,0,a-5,,
【江宁翠屏国际 | 沐槿宫】仅19元抢原价59元儿童洗浴+戏水+自助晚餐！49元抢原价129元成人洗浴门票！59元抢原价168元（洗浴129元＋搓背39元）！超多洗浴套餐，精选按摩放松项目在等你~,0,h,,
【溧阳丨国庆加价可用】¥199起抢|花筑·奢野别院两天一晚/三天两晚度假套餐！入住豪华家庭套房，食天目湖鱼头汤，享两大一小早餐，有效期至年底～,0,b,,
【黑龙吃肉酒馆】珠江路沿线|118元抢原价348元双人餐！一站式体验酒吧+火锅的双重快乐！有酒有肉才是生活真谛！ ,0,a-4/n,,
【三店通用/经络堂——点评网推荐五星好店】仅68元购价值980元肩颈、腰部推拿+汗蒸+沐浴+精油套餐，休闲养生安排上~,0,h/i,,
【森林摩尔艺术时尚街区】仅9.9元抢门市价45元居老汉罐罐饭单人，冬瓜海带排骨汤，土豆煨牛腩，莴笋焖咸鸭，红烧狮子头，香菇滑鸡一份（五选 一）+养生蒸鸡蛋 +酸梅汤+米饭,0,a-3,,
【全国通用】仅58元抢价值1000元寄居蟹民宿体验卡Plus（单次）！可连住2晚中端/1晚高端，新老客户都可使用！全国105+家精品民宿任你选，快来一次说走就走的旅行~,0,b/l,,
【新街口印象汇】16.9元抢原价35元南小椰招牌经典椰奶清补凉+百香果冻，18.9元抢原价35元招牌经典椰奶清补凉23元+椰奶冻12元,0,a-6,,
【金陵小夫妻木炭全羊馆|两店通用】79.9元抢原价260元2-3人套餐，木炭全羊锅一份，6份蔬菜（鸭血、土豆、生菜、干丝、面筋包、粉丝），凉拌鸭胗一份，盐水花生一份,0,a-3,,
【艾尚天地|集渔冬阴功火锅】188元抢2~3人堂食套餐！火热东南亚风情！等你来尝！火爆各地的TA来啦！性价比爆表！,0,a-4,,
【大行宫两店通用】仅39.9元抢原价680元『露儿美容养生套餐』2选1，专业的态度、耐心的服务、整洁的环境，心动不如行动~！,0,k,,
【 地铁4号线龙江地铁站附近】仅59元抢原价79元百年澡堂单人洗浴+自助餐（1餐）休闲娱乐，健康养生，好评5颗星，强烈推荐你！,0,i,,
【新街口莱迪】9.9元抢原价20元陈记超值鸡排套餐，鸡排一份+里脊1串，外酥里嫩的口感，入口后超足的满足感，还不赶紧安排上去打卡哦~~,0,a-1-2,,
【三山街】69.9元抢门市价176元烤官达人碳锅鱼双人餐，麻辣碳锅鱼+配菜，花甲，花生还有酸梅汤，色香味俱全，好吃停不下来~！,0,a-3,,
【三山街】99元抢门市价398元佰年足道精油SPA养生套餐 精油SPA50分钟+采耳/头疗20分钟/藏传泥灸30分钟（三选一）,0,h,,
【玄武区钟鼎名悦】仅88元抢原价380元徒手餐厅超值双人餐！铁锹海鲜（生蚝、鲍鱼、海星、对虾、牛蛙……）蒜泥黄瓜+特调饮品2杯！快来享受海鲜盛宴吧,0,a-3,,
【非常女子】仅299元抢原价2300元全家福摄影套餐，服装造型每人两组+拍摄50张以上+12张精修入册（精修拷贝赠送）+八寸台历相册 + 20寸放大水晶版画,0,m,,
【三层防护口罩】19.9元抢原价39元50个装儿童三层防护口罩，三层防护有效过滤！儿童尺寸紧贴舒适~！！,1,c-1/b-2,,
"【新街口国际贸易中心】仅19.9元抢原价230元米兰音乐吧特惠A套餐：雪花纯生啤酒6瓶+2份小食，88元抢原价470元特惠B套餐：啤酒12瓶（3选一）+3份小食	",0,n,,
【全国300+精品酒店免费住】仅668元抢“任享无限次-免费住酒店”随处·畅住卡2年使用期！超长使用期！全国有300多家精品酒店，不限次数！不限地区！不限房型！免费住~,0,b,,
【精选砀山黄桃，一口半个桃！】29.9元抢门市价45元黄桃罐头425g*5罐！藏着无与伦比的鲜嫩，VC都快溢出来啦！超Q弹,1,a-2,,
【六店通用·慢面包】仅15.8元/28.8元享四寸盒子蛋糕1个/四寸蛋糕盒子2个！芒果、草莓、抹茶、奥利奥，多种口味与造型萌翻你的少女心！,1,a-1,,
【新街口】39元抢安臻美原价588元美肤套餐， 雪美人焕白管理 +补水嫩肤管理 +肩劲理疗艾灸 ，给你的皮肤来一次变美升级！,0,k,,
【新街口/明泰谷】128元抢价值319元双人套餐！258抢价值552元四人餐！纯血统泰国菜，用异域的味道唤醒沉睡的味蕾！,0,a-3,,
【夫子庙】29.9元抢门市价780元美肤套餐男女通用！9大项目！别犹豫，来Dr.ACNE痘院长，皮肤的变化看得见~超值！,0,k,,
【苏蜀传奇】24.8元抢原价69元单人午市自助涮锅烤肉！超高性价比！ ,0,a-8/a-5,,
"【全国包邮】69.9元抢原价99元欣跃天地自热米饭8盒（4种口味,各2盒），四种口味满足味蕾随时随地轻松享受美味~",1,a-5,,
【三层防护口罩】29.9元抢原价59元100个装成人三层防护口罩，三层防护有效过滤！,1,c-1/b-2,,
"【全国包邮】仅29.9元抢门市价119元形象美 洗护浴三件套血橙沐浴乳一瓶550ML，生姜洗发水一瓶300ML,生姜护发水一瓶300ML ",1,c-2-1,,
【全国包邮】仅188抢门市价420元400ml兰蔻大粉水一瓶，周冬雨、吴亦凡都在用的兰蔻大粉水，旗舰店销量第一，补水又保湿,1,d-1,,
【重庆高老九火锅】 艾尚天地|188元抢门市价512元3-4人火锅套餐！鸳鸯锅底+美蛙+龙盘肉+火锅组合+乌鸡卷+巴沙鱼+午餐肉...,0,a-4,,
【全国包邮】仅19.9抢门市价59元形象美绵羊油保湿霜140g两瓶，滋润补水，四季可用，一瓶多效，全身可用。,1,d-1,,
【鼓楼|巷陌繁花酒吧】酒吧中的王炸来了！9.9元=12瓶啤酒/莫吉托/长岛冰茶+2份坚果+1份精致果盘，带你嗨翻整个长夜！！！,0,n,,
"【全国包邮】仅19.9抢门市价40元形象美蜂蜜保湿护手霜 / 珍珠倍润护手霜 / 乳木果柔嫩护手霜/ 玫瑰水漾护手霜（60G),四选 二，/门市价49元B套餐马油护手霜（30G)一支 ，用心呵护您的手保持最年轻的状态",1,d-1,,
【南湖东路｜杨记潮汕鲜牛肉牛杂火锅】仅99元抢门市价307元2-3人套餐！凭借一口鲜牛肉火锅制霸全场！人均33元即可打卡！,0,a-4,,
【TOPBABY｜六店通用】49.9元抢购价值1588金牛台历拍摄，仅限500份！抢完即止！金牛送福，潮宝迎春！南京六区均可拍摄（鼓楼/玄武/栖霞/桥北/雨花/江宁）,0,m,,
预售【高淳金沙水城】小伙伴们快和家人们来金沙水城泡澡吧~19.9元抢原价59元单人浴资+自助餐，59.9元抢原价139元两大一小：浴资+自助餐。吃喝玩乐一站搞定！,0,a-8/i,,
【琦品｜新街口/江宁店】98元抢原价1288元瑞士活细胞嫩肤透白/泰国 进口精油经络肩颈二选一，为女性打造100%尊贵体验,0,k,,
【两店通用】仅58元抢门市价1280元L&C .DELICACY美学馆 美肤美睫套餐，超微气泡肌底清洁一次，沙漠肌水分再生一次，美白三部曲一次，蚕丝轻感美睫一次（10天内免费修补一次 ）还不来变美嘛？,0,k,,
【漂亮妈妈14店通用】69元抢原价896元调理减脂A套餐，99元抢原价1892元熏蒸调理B套餐，158元抢原价2390元产后修复套餐,0,k,,
"测试秒杀【新街口/杰克地方】仅59元抢门市价147元牛排单人套餐特级西冷牛排,田园沙拉，意式蔬菜汤，味蕾和视觉的双重盛宴~",0,a-9,限时,
【新街口淘淘巷香港城，无需预约】只做当日新鲜好牛肉！仅59/99元享门市价128/258元【潮徽臻牛鲜牛肉】牛骨单人套餐/2-3人火锅套餐,0,a-4,,
【嗨皮优惠专属福利】29.9元购原价53元时代影城电影兑换通用券，各位影迷抢先购买好位置哦~,0,c,,
"【新街口/杰克地方】仅59元抢门市价147元牛排单人套餐特级西冷牛排,田园沙拉，意式蔬菜汤，味蕾和视觉的双重盛宴~",0,a-9,,
【全国包邮】88元抢原价199元意大利C&C羊羔绒围巾1条，自带一份尊贵优雅，穿围两用，气质加成！,1,e-1,,
【高淳老街花涧堂】68元抢原价128元双人餐，149.8元抢原价298元3~5人餐，249.8元抢原价498元6~8人餐，美景美食这里都有~快来打卡,0,a-x,,
【新街口/江宁/龙江三店通用】39元抢门市价576元雅初瑜伽塑型理疗瑜伽精品课七选二！99元抢门市价880元普拉提大器械一对一私教课程1小时！人人都能变气质女神~ ,0,p,,
限量秒杀【鼓楼|巷陌繁花酒吧】酒吧中的王炸来了！9.9元=12瓶啤酒/莫吉托/长岛冰茶+2份坚果+1份精致果盘，带你嗨翻整个长夜！！！,0,n,,
直播秒杀【全国包邮】仅9.9抢门市价59元形象美绵羊油保湿霜140g两瓶，滋润补水，四季可用，一瓶多效，全身可用。,1,d-1,限时,
 直播秒杀【老船长】仅19.9元享门市价288元猪肚鸡套餐！（​虫草松茸猪肚鸡+广东清远鸡+虫草+松茸+黑猪肚+潮汕手打肉丸+手打牛肉滑+豆腐皮+魔芋节+玉米+生菜....）,0,a-3,限时,
直播秒杀【金陵小夫妻木炭全羊馆|两店通用】19.9元抢原价260元2-3人套餐，木炭全羊锅一份，6份蔬菜（鸭血、土豆、生菜、干丝、面筋包、粉丝），凉拌鸭胗一份，盐水花生一份,0,a-3,限时,
【新街口淘淘巷香港城，无需预约】仅69元享门市价128元签味烧烤双人餐，羊肉串、鱼豆腐、烤面筋、秋刀鱼、蒜泥扇贝、韭菜 ……荤素的完美搭配丰富你的味蕾,0,a-2,,
"【建邺|缤润汇】仅39元抢原价1380元HANA美学皮肤管理中心酵素浴套餐！日本暴瘦酵素浴， 深层水漾活肤光彩SPA，,日本晓姿眼部活化管理，背部脂刷一次 （四选 三），",0,k,,
直播间秒杀【全国通用】19.9元抢门市价33元肯德基老北京鸡肉卷两份，性价比高到惊人好吗，还在等啥？赶紧抢啊！,0,a-1-1,限时,
【三店通用/经络堂—体重管理套餐】仅68元购价值1288元体重管理推拿+汗蒸+沐浴+推拿+红外线理疗套餐  ，体重管理安排上~,0,k,,
"直播秒杀【全国包邮】59元抢原价99元欣跃天地自热米饭8盒（4种口味,各2盒），四种口味满足味蕾随时随地轻松享受美味~",1,a-5,限时,
【张府园地铁站】仅17.9元抢原价33元柒也家招牌手打虾滑1份+鳕鱼滑1份，享受吃虾滑的快乐~,0,a-10,,
【浦口金盛田广场】仅79元抢原价179元唯二小馆牛蛙双人套餐，现杀三斤牛蛙+莴笋+藕+土豆+手指年糕+洋葱+酸梅汁1扎+2份餐具，丰富的菜品、麻辣的鲜香，还不快来尝尝~,0,a-3,,
【都野菜寿喜锅】江宁万达|95元抢门市价168单人自助套餐！火爆吃货圈的日式寿喜烧入驻南京！高品质牛肉不限量供应,0,a-8/a-11,,
【古风摄影】仅69.9元抢门市价998元凤艺传古风摄影套餐，让照片定格精彩一刻，用镜头记录美好瞬间。在这里，找到不一样的自己,0,m,,
【美团外卖会员丨官方直充 | 全国通用】仅29.9元抢原价45元美团外卖尊享版会员季卡！连续3个月每月享30元无门槛红包！海量商家支持会员红包免费升级！,0,l,,
【雅宴精致涮涮锅/3店通用】39.9元单人晚市自助火锅！人气自助小火锅蔬菜肉肉等各类美食一次性满足所有人的口味！ ,0,a-4/a-8,,
【苜蓿园｜卡裴娜小馆】99元享门市价473元的卡裴娜小馆双人餐！澳洲沙朗牛肉+秘制鸡翅+卡裴娜经典薯条+ 慕尼黑白肠+ 意大利肉酱芝士焗...超多美味,0,a-9,,
【1345水晶蓝湾汗蒸温泉会馆】仅39元/59元抢超值单人/亲子洗浴套餐，洗浴、汗蒸、儿童戏水、住宿、娱乐，一站式休闲娱乐,0,i,,
【鸡鸣汤包/夫子庙店】19.9元双人餐！鸡汁汤包+鸭血粉丝汤+赤豆酒酿元宵或桂花糖芋苗，百年老店，不忘初心，品味最熟悉的老味道！,0,a-10,,
【两店通用】仅29.9元抢门市价106元京笙韩国炸鸡套餐，韩国炸鸡半只，6块无骨鸡肉，霸王薯条一份，可乐一听,0,a-12,,
【全国包邮】仅79元抢购门市价159.9元万亩稻 长粒香蟹稻胚芽米1kg*5块，只为让千家万户的家庭吃上新鲜健康营养的好大米,1,a-6,,
【汉中门/河西万达/苏宁清江三店通用】58元抢门市价398元LOUIS轻奢芳香PSA套餐，芳香精油背部SPA（45分钟） 两次，男女不限，休闲养生放松一下~,0,h,,
【建邺区缤润汇】9.9元抢原价100元九田家黑牛烤肉料理代金券，烤肉界的爱马仕，快来打卡吧~,0,l/a-5,,
"限时买一送一【建邺|缤润汇】仅39元抢原价1380元HANA美学皮肤管理中心酵素浴套餐！日本暴瘦酵素浴， 深层水漾活肤光彩SPA，,日本晓姿眼部活化管理，背部脂刷一次 （四选 三），",0,k,限时,
限时秒杀【三店通用/经络堂——点评网推荐五星好店】仅39元购价值980元肩颈、腰部推拿+汗蒸+沐浴+精油套餐，休闲养生安排上~,0,h/i,限时,
【老鼓楼鸡鸣汤包/夫子庙店】19.9元双人餐！鸡汁汤包+鸭血粉丝汤+赤豆酒酿元宵或桂花糖芋苗，百年老店，不忘初心，品味最熟悉的老味道！,0,a-3/a-10,,
限时秒杀【新街口淘淘巷香港城，无需预约】只做当日新鲜好牛肉！仅19.9元享门市价128元【潮徽臻牛鲜牛肉】牛骨单人套餐,0,a-9,限时,
限时秒杀【苜蓿园｜卡裴娜小馆】39.9元享门市价473元的卡裴娜小馆双人餐！澳洲沙朗牛肉+秘制鸡翅+卡裴娜经典薯条+ 慕尼黑白肠+ 意大利肉酱芝士焗...超多美味,0,a-9,限时,
"限时秒杀【新街口/杰克地方】仅19.9元抢门市价147元牛排单人套餐特级西冷牛排,田园沙拉，意式蔬菜汤，味蕾和视觉的双重盛宴~",0,a-9,限时,
限时秒杀【张府园地铁站】仅9.9元抢原价33元柒也家招牌手打虾滑1份+鳕鱼滑1份，享受吃虾滑的快乐~,0,a-10,限时,
【新街口】仅19.9元抢门市价138元芭比馆体验换装1小时单套 ，仅59元抢门市价228元芭比馆体验换装3小时不限套 ，粉嫩芭比屋，满足你的少女心！,0,m,,
【建邺区|万达】仅39元抢门市价724元想de美美容套餐，仅49元抢门市价794元想de美养生套餐，送你一份美丽/健康大礼每个女孩都值得拥有~,0,k,,
限时秒杀【苜蓿园｜卡裴娜小馆】59.9元享门市价473元的卡裴娜小馆双人餐！澳洲沙朗牛肉+秘制鸡翅+卡裴娜经典薯条+ 慕尼黑白肠+ 意大利肉酱芝士焗...超多美味,0,a-9,限时,
【全国通用】仅199元抢价值688元寄居蟹民宿享旅卡！可连住4间夜（2晚高端+2晚中端）！全国近130+民宿可用！,0,b,,
【三层防护口罩】25.9元抢原价69元100个装成人/儿童三层防护口罩，29.9元抢原价79元儿童三层防护口罩（小熊款），三层防护有效过滤！,1,b-2/c-1,,
【五店通用，奇迹健身】仅19.9元抢原价899元奇迹健身+游泳半月（15天）体验卡，你就是下一个行走的荷尔蒙！,0,p,,
【卤人甲|新街口店】19.9元单人豪华套餐！凭借一份黄金炸鸡爪成功出圈！堪称卤炸界大佬！现卤现炸！匠心制作！,0,a-10,,
【全国包邮】仅59.9元抢门市价89元彩狸天然皂露洗衣液，温和去污、洁净留香，浓浓的薰衣草香味   让你仿佛置身在薰衣草的海洋,1,c-2-2,,
【全国包邮|双十一巨献】仅29.9抢门市价99元N95口罩*20，专业配置，让防护更舒适,1,b-2,,
【四店通用|爱啃猪蹄】仅13.9元抢门市价22元秘制卤肉饭，18.9元抢门市价28元黄豆炖猪蹄饭，16.9元抢门市价30元炸猪蹄/卤猪蹄/炸猪手圈（三选一）,0,a-1-2/a-3/a-10,,
【江浙沪皖顺丰包邮|南京可自提】58元抢门市价128元南林雅致燕窝玉玺款40克/*1礼盒 ，99元抢门市价228元南林雅致燕窝小经典款75克/瓶*3 礼盒 古法手工挑毛约1500次，开盖直接食用。,1,a-x/b-1,,
【五店通兑，奇迹健身】仅19.9元抢原价899元奇迹健身+游泳半月（15天）体验卡，你就是下一个行走的荷尔蒙！,0,p,,
【呷哺呷哺|南京9店通用】69元抢原价116元双人餐！20年品牌！保证带来品质和口味如一！一人一锅，霸气开涮！,0,a-4,,
【南京凤凰台饭店· 海鲜自助餐】玄武湖|凤凰台上凤凰游！79元抢单人节假日周末午市自助餐！ 各种美食统统放进畅吃清单！带上你的小伙伴快来赴约吧！,0,a-8,,
"【建邺万达旁•集庆门大街站7B号口】小红书流行的齿轮洞穴音乐餐吧来啦！9.9/138元享购门市价297/1199元的潮向酒廊套餐，百威啤酒，酒鬼花生，香辣薯角，精美果盘, 恶魔野格力娇.......",0,n,,
【限江浙沪，顺丰空运】仅69.9元抢市场价119元棠小一榴莲千层六寸，精选马来西亚优质苏丹王榴莲果肉，快和心爱的TA分享，简直Sweet♥到爆！,1,a-2,,
直播秒杀【四店通用|爱啃猪蹄】9.9元抢门市价30元炸猪蹄/卤猪蹄/炸猪手圈（三选一）,0,a-1-2/a-3/a-10,限时,
直播秒杀【江浙沪皖顺丰包邮|南京可自提】19.9元抢门市价128元南林雅致燕窝玉玺款40克/*1礼盒,1,a-x/b-1/b-3,限时,
直播秒杀【江浙沪皖顺丰包邮|南京可自提】59元抢门市价228元南林雅致燕窝小经典款75克/瓶*3 礼盒,1,a-x/b-1/b-3,限时,
直播秒杀【四店通用|爱啃猪蹄】9.9元抢门市价30元烤蜜薯一份+雪燕桃胶羹一份,0,a-1-2/a-3/a-10,限时,
【万圣节亲子活动】19.9元抢原价198元美乐万圣节亲子活动套餐1份，万圣南瓜灯制作（实物南瓜）+万圣商场巡游（赠送万圣节定制服装一套），快来一起度过一个难忘的万圣节,0,q,,
预售【南京南站/海韵之星限时抢购】129元抢门市价218元海韵之星油轮单人船票+自助餐（一餐）纯正的韩式汗蒸养生，一站式的休闲娱乐~！,0,i,,
【抖音网红爆款，平台疯狂补贴，全国包邮】9.9元抢原价39.9元 的甘滋罗手工巧克力“一鹿有你”礼盒装，纯可可脂+新西兰牛乳，天然更健康！,1,a-4,,
直播秒杀【四店通用|爱啃猪蹄】仅9.9元抢门市价22元秘制卤肉饭,0,a-1-2/a-3/a-10,限时,
直播秒杀【四店通用|爱啃猪蹄】9.9元抢门市价28元黄豆炖猪蹄饭,0,a-1-2/a-3/a-10,限时,
【高虾神】莫愁湖|蛙～蛙～蛙！自助火锅界蕞强CP美蛙+酱大骨来袭！58元抢门市价168元单人美蛙酱大骨自助！ ,0,a-4/a-8,,
直播秒杀【怡康街】仅59元抢门市价308元炮锅蛙蛙牛蛙套餐，10只牛蛙（四种口味锅底任选）+鸭血+老豆腐+午餐肉+平茹+豆芽+四川泡菜,0,a-3/a-8,限时,
【安吉】¥399抢安吉木美鸟铂锐度假酒店度假套餐！住豪华房，A:游七彩山地亲子乐园！B:游潴口溪水上乐园漂流或者飞艇2选1！住豪华房！吃美食！玩盛夏！,0,b,,
【怡康街】仅99元抢门市价308元炮锅蛙蛙牛蛙套餐，10只牛蛙（四种口味锅底任选）+鸭血+老豆腐+午餐肉+平茹+豆芽+四川泡菜,0,a-3/a-8,,
【莫干山】纯木质古朴中式宅院，¥299入住花筑·莫干山瑶庄客栈/晚，享免费早餐、店内娱乐设施、店内用餐9折优惠，有效期至明年3月～归隐山水间，享清风明月,0,b,,
【涵碧楼】南京顶级高端五星级自助！168元抢原价399元Ho Jia9风味主食4选1+单人自助餐，288元抢原价Ho Jia9精选牛排3选 1+单人自助餐，248元抢原价488元单人自助餐,0,a-8,,
【德盈国际广场】仅39.8元抢原价1870元L.SPA美容美甲养生套餐：纯色美甲+小气泡+脱毛一次+肩颈疏通单次+身体减脂一次+艾灸月卡（不限次）,0,k,,
【海码头海鲜烧烤城】南湖东路|秋日第一份烤羊腿！仅售88元！即可获得门市价358元的3-4人烤羊腿套餐！满足你的吃肉欲望 ,0,a-5,,
【秦淮区|仙鹤街】仅99元抢门市价232元蚝鲜生加油站双人套餐，高压锅蒸汽生蚝大号（6只）+清蒸红石斑+烤白虾（5串）+天尝里脊（10串 ）...饕餮海鲜盛宴，手掌大的生蚝！,0,a-13,,
【全国包邮】仅39.9元抢门市价68元棠小一半熟芝士蛋糕，4颗*36g/盒*2，不腻，不齁，清甜，让人吃了一个，还想要再吃一个！,1,a-4,,
【水西门大街】仅99元抢原价256元羊老爷羊肉锅 2-3人套餐！羔羊卷，手切羊肉，乌鸡卷，鸭血，墨鱼丸......朋友聚餐的绝佳选择~,0,a-4,,
【全国包邮】9.9元抢原价19元精益嘉沙琪玛12根（6种口味/箱），丰富不单调，给您更多的味蕾享受~,1,a-4,,
【全国包邮】79元抢原价169元海底捞底料组合套餐（赠海底捞不锈钢鸳鸯锅1个），把海底捞的锅底搬回家，撑起一片火锅世界！,1,a-5,,
【两店通用】仅99元抢原价325元炉子旁烤肉2-3人餐！六款火爆肉食+裙带菜汤+酱料+气泡水3杯！网红烤肉盛宴等你来打卡~,0,a-5,,
【全国通用】仅58元抢价值1000元寄居蟹民宿体验卡Plus（单次），可连住2晚中端/1晚高端，新老客户都可使用！全国105+家精品民宿任你选，快来一次说走就走的旅行~,0,b,,
【爆品返场 | 500万+宝妈强推舒宁电动牙刷 | 买一送一】仅29.9元购官网价178元【舒宁智能声波电动牙刷】成人款儿童款，4色选配，2个机身+4个刷头+2个牙膏+2个电池,1,c-2-1,,
【纽斯汗蒸】嘉勒彼广场 | 58元抢原价129元单人浴资券1张，寒冬来袭汗蒸安排上，一起来感受这份惬意与幸福吧！,0,i,,
【双店同庆，无需预约】一条能唤醒你味蕾的鱼~85元购门市价249元【藤娇&旺鱼】烤鱼套餐！湄公鱼泡饼 、花甲 、黄豆芽 、土豆片 、金针菇 、娃娃菜 、冰粉2份 、酸梅汁一扎,0,a-2/a-13,,
【 地铁4号线龙江地铁站附近】仅29.9/49.9元抢原价79/118元百年澡堂单人/亲子洗浴+水果/饮料自助休闲娱乐，健康养生，好评5颗星，强烈推荐你！,0,i,,
【鼓楼世茂滨江】喝正宗海南椰子鸡汤！88元抢原价216元海南特色椰子鸡2-3人餐，清远鸡一只+椰青+红糖糍粑+矿泉水+6种青菜！一锅用椰汁和恒大冰泉煮出来的高逼格鸡汤,0,a-3,,
【建邺区•黄山路】爱犬福利给你送到手~限时19.9元抢门市价69元【Pet ear宠物沙龙】宠物狗狗洗护套餐,0,r,,
【洪武记·贵州黄牛肉火锅】中山东路|138元3~4人火锅套餐！阴雨绵绵的季节，zui适合吃一顿热乎乎的牛肉火锅啦！爆款惊喜返场！ ,0,a-4,,
【仙鹤街|佰年足道】69元抢原价188元经典足疗套餐，99元抢原价268元超值SPA套餐，低头族必囤~,0,h,,
【两店通用】仅39元抢门市价88元Care one2寸动物奶油戒指蛋糕，简简单单  表达更好的爱，仪式感满满 ，为幸福增添一抹色彩~,0,a-14,,
【遇见小面】南京3店通用|这碗月销10W+的豌杂面，你一定不能错过！48元抢门市价98元的双人餐！在金陵遇见重庆小面！ ,0,a-3/a-10,,
【全国包邮】59.9元抢原价109元时尚印花1.8米床四件套，109元抢原价199元新疆长绒棉1.8米床四件套，多种花色可选，换季必备,1,c-3,,
【无需预约·南京水沐秦淮足道】养生，从足疗开始~仅需59.9元即可享门市价168元足疗套餐，60分钟足疗+饮品（6选1）+四格小吃【红茶、绿茶、大麦茶、 可乐、雪碧、矿泉水+：水果1份+小食3份】,0,h,,
【小龙坎麻辣小火锅超值来袭！火锅界人气王！】仅39.9元=3盒！享门市价79元三盒即食小火锅！精选食材搭配醇香牛油，随时随地畅享麻辣鲜香、爽爆味蕾的地道成都火锅！,0,a-4,,
【预售|泰合玺夫子庙夫子庙水游城，尧化门金地广场，马群花园城3店通用】88/168/188元享泰式按摩套餐，让你远离喧嚣，卸下疲惫！,0,h,,
【全国通用】24.9元抢门市价33元肯德基老北京鸡肉卷两份，性价比超高，还在等啥？赶紧抢啊！,0,a-1-1,,
【小龙坎江宁区新亭西路店】仅159元抢原价357元3-4人餐，锅底+精品肥牛+精品千层肚+精品巴沙鱼+水晶鸭肠+鸭血+撒尿牛丸+蟹柳花+...,0,a-4,,
直播秒杀【两店通用】仅29.9元抢门市价88元Care one2寸动物奶油戒指蛋糕，简简单单  表达更好的爱，仪式感满满 ，为幸福增添一抹色彩~,0,a-14,限时,
【口渴了|19店】11.9元双人饮品套餐！酝酿了一个春夏的时间，带来清新百香雪梨茶！沁甜爽口，喝了就爱上,0,a-6,,
【珠江路地铁口 重庆火椒鱼】仅88元抢门市价216元双人套餐，炭火美蛙五选一+随机配菜4种+酸梅汤一扎+2份米饭,0,a-3/a-13,,
